TI-ws_category	TI	U_mean	x1_mean	x1_std	x2_mean	x2_std
wind_10_ms_TI_0.05	0.050	10.034	1.109	0.114	0.380	0.052
wind_11_ms_TI_0.05	0.050	11.037	1.327	0.137	0.455	0.061
wind_12_ms_TI_0.05	0.050	12.040	1.119	0.119	0.384	0.056
wind_13_ms_TI_0.05	0.050	13.043	0.955	0.105	0.328	0.052
wind_14_ms_TI_0.05	0.050	14.045	0.854	0.097	0.293	0.049
wind_15_ms_TI_0.05	0.050	15.048	0.787	0.092	0.270	0.048
wind_16_ms_TI_0.05	0.050	16.050	0.729	0.088	0.250	0.047
wind_17_ms_TI_0.05	0.050	17.053	0.683	0.084	0.234	0.047
wind_18_ms_TI_0.05	0.050	18.055	0.648	0.082	0.222	0.046
wind_19_ms_TI_0.05	0.050	19.057	0.614	0.080	0.211	0.046
wind_20_ms_TI_0.05	0.050	20.060	0.589	0.079	0.202	0.046
wind_21_ms_TI_0.05	0.050	21.062	0.566	0.078	0.194	0.046
wind_22_ms_TI_0.05	0.050	22.064	0.549	0.077	0.188	0.046
wind_23_ms_TI_0.05	0.050	23.066	0.529	0.076	0.181	0.046
wind_24_ms_TI_0.05	0.050	24.068	0.514	0.075	0.176	0.046
wind_25_ms_TI_0.05	0.050	25.070	0.502	0.075	0.172	0.046
wind_4_ms_TI_0.05	0.050	4.015	0.201	0.021	0.069	0.010
wind_5_ms_TI_0.05	0.050	5.019	0.313	0.032	0.107	0.016
wind_6_ms_TI_0.05	0.050	6.022	0.443	0.046	0.152	0.022
wind_7_ms_TI_0.05	0.050	7.025	0.572	0.059	0.196	0.028
wind_8_ms_TI_0.05	0.050	8.028	0.710	0.074	0.243	0.034
wind_9_ms_TI_0.05	0.050	9.031	0.898	0.093	0.308	0.042
wind_10_ms_TI_0.1	0.100	10.069	1.124	0.222	0.385	0.094
wind_11_ms_TI_0.1	0.100	11.074	1.330	0.263	0.456	0.111
wind_12_ms_TI_0.1	0.100	12.080	1.121	0.228	0.385	0.101
wind_13_ms_TI_0.1	0.100	13.085	0.958	0.200	0.329	0.093
wind_14_ms_TI_0.1	0.100	14.091	0.858	0.185	0.294	0.089
wind_15_ms_TI_0.1	0.100	15.096	0.790	0.175	0.271	0.087
wind_16_ms_TI_0.1	0.100	16.101	0.732	0.167	0.251	0.086
wind_17_ms_TI_0.1	0.100	17.106	0.686	0.160	0.235	0.085
wind_18_ms_TI_0.1	0.100	18.110	0.651	0.156	0.223	0.084
wind_19_ms_TI_0.1	0.100	19.115	0.618	0.152	0.212	0.084
wind_20_ms_TI_0.1	0.100	20.119	0.592	0.149	0.203	0.084
wind_21_ms_TI_0.1	0.100	21.124	0.569	0.147	0.195	0.084
wind_22_ms_TI_0.1	0.100	22.128	0.552	0.146	0.189	0.085
wind_23_ms_TI_0.1	0.100	23.132	0.532	0.144	0.182	0.085
wind_24_ms_TI_0.1	0.100	24.137	0.516	0.143	0.177	0.086
wind_25_ms_TI_0.1	0.100	25.141	0.508	0.143	0.174	0.086
wind_4_ms_TI_0.1	0.100	4.030	0.204	0.039	0.070	0.018
wind_5_ms_TI_0.1	0.100	5.037	0.317	0.062	0.109	0.027
wind_6_ms_TI_0.1	0.100	6.044	0.448	0.088	0.154	0.038
wind_7_ms_TI_0.1	0.100	7.050	0.579	0.114	0.199	0.049
wind_8_ms_TI_0.1	0.100	8.057	0.719	0.142	0.247	0.061
wind_9_ms_TI_0.1	0.100	9.063	0.910	0.180	0.312	0.077
wind_10_ms_TI_0.15	0.150	10.103	1.143	0.333	0.392	0.139
wind_11_ms_TI_0.15	0.150	11.112	1.338	0.390	0.459	0.163
wind_12_ms_TI_0.15	0.150	12.120	1.128	0.338	0.387	0.148
wind_13_ms_TI_0.15	0.150	13.128	0.965	0.298	0.331	0.137
wind_14_ms_TI_0.15	0.150	14.136	0.865	0.274	0.297	0.131
wind_15_ms_TI_0.15	0.150	15.144	0.796	0.259	0.273	0.128
wind_16_ms_TI_0.15	0.150	16.151	0.739	0.247	0.253	0.126
wind_17_ms_TI_0.15	0.150	17.158	0.692	0.238	0.238	0.125
wind_18_ms_TI_0.15	0.150	18.165	0.656	0.232	0.225	0.125
wind_19_ms_TI_0.15	0.150	19.172	0.623	0.226	0.214	0.124
wind_20_ms_TI_0.15	0.150	20.179	0.598	0.222	0.205	0.125
wind_21_ms_TI_0.15	0.150	21.186	0.575	0.219	0.197	0.125
wind_22_ms_TI_0.15	0.150	22.192	0.557	0.217	0.191	0.126
wind_23_ms_TI_0.15	0.150	23.199	0.537	0.215	0.184	0.126
wind_24_ms_TI_0.15	0.150	24.205	0.521	0.214	0.179	0.127
wind_25_ms_TI_0.15	0.150	25.211	0.517	0.215	0.177	0.130
wind_4_ms_TI_0.15	0.150	4.045	0.207	0.059	0.071	0.026
wind_5_ms_TI_0.15	0.150	5.056	0.322	0.092	0.111	0.040
wind_6_ms_TI_0.15	0.150	6.066	0.456	0.131	0.156	0.056
wind_7_ms_TI_0.15	0.150	7.076	0.588	0.171	0.202	0.073
wind_8_ms_TI_0.15	0.150	8.085	0.732	0.213	0.251	0.091
wind_9_ms_TI_0.15	0.150	9.094	0.926	0.270	0.318	0.114
