# time_s	wind_ms	x1_blade_m	x2_tower_m	blade_velocity	tower_velocity
60.000	14.652	0.000	0.000	0.000	0.000
60.010	14.688	0.000	0.000	0.067	0.000
60.020	14.729	0.001	0.000	0.134	0.000
60.030	14.769	0.003	0.000	0.200	0.000
60.040	14.806	0.005	0.000	0.266	0.000
60.050	14.835	0.008	0.000	0.331	0.000
60.060	14.853	0.012	0.000	0.396	0.000
60.070	14.860	0.016	0.000	0.459	0.001
60.080	14.856	0.021	0.000	0.521	0.001
60.090	14.843	0.027	0.000	0.582	0.001
60.100	14.822	0.033	0.000	0.641	0.002
60.110	14.797	0.039	0.000	0.699	0.002
60.120	14.769	0.047	0.000	0.754	0.003
60.130	14.743	0.055	0.000	0.808	0.004
60.140	14.718	0.063	0.000	0.861	0.005
60.150	14.696	0.072	0.000	0.911	0.006
60.160	14.677	0.081	0.000	0.959	0.007
60.170	14.660	0.091	0.000	1.006	0.008
60.180	14.642	0.101	0.000	1.051	0.009
60.190	14.623	0.112	0.001	1.093	0.011
60.200	14.599	0.123	0.001	1.134	0.013
60.210	14.571	0.135	0.001	1.172	0.015
60.220	14.537	0.147	0.001	1.208	0.017
60.230	14.498	0.159	0.001	1.242	0.019
60.240	14.456	0.171	0.001	1.274	0.021
60.250	14.413	0.184	0.002	1.303	0.024
60.260	14.372	0.197	0.002	1.330	0.026
60.270	14.338	0.211	0.002	1.355	0.029
60.280	14.313	0.225	0.002	1.377	0.032
60.290	14.303	0.238	0.003	1.397	0.036
60.300	14.308	0.252	0.003	1.415	0.039
60.310	14.329	0.267	0.004	1.431	0.043
60.320	14.367	0.281	0.004	1.446	0.047
60.330	14.420	0.296	0.004	1.458	0.051
60.340	14.482	0.310	0.005	1.469	0.055
60.350	14.551	0.325	0.006	1.479	0.060
60.360	14.620	0.340	0.006	1.486	0.064
60.370	14.683	0.355	0.007	1.493	0.069
60.380	14.736	0.370	0.008	1.497	0.074
60.390	14.772	0.385	0.008	1.500	0.079
60.400	14.790	0.400	0.009	1.501	0.084
60.410	14.787	0.415	0.010	1.501	0.090
60.420	14.762	0.430	0.011	1.498	0.096
60.430	14.717	0.445	0.012	1.494	0.102
60.440	14.654	0.460	0.013	1.487	0.108
60.450	14.579	0.474	0.014	1.478	0.114
60.460	14.494	0.489	0.015	1.467	0.120
60.470	14.405	0.504	0.016	1.452	0.127
60.480	14.317	0.518	0.018	1.436	0.134
60.490	14.233	0.532	0.019	1.417	0.141
