# t	x1	x2	dx1	dx2
60.000	0.000	0.000	0.000	0.000
60.010	0.000	0.000	0.053	0.000
60.020	0.001	0.000	0.106	0.000
60.030	0.002	0.000	0.159	0.000
60.040	0.004	0.000	0.212	0.000
60.050	0.007	0.000	0.265	0.000
60.060	0.010	0.000	0.317	0.000
60.070	0.013	0.000	0.368	0.000
60.080	0.017	0.000	0.418	0.001
60.090	0.021	0.000	0.468	0.001
60.100	0.026	0.000	0.516	0.001
60.110	0.032	0.000	0.564	0.002
60.120	0.038	0.000	0.610	0.002
60.130	0.044	0.000	0.654	0.003
60.140	0.051	0.000	0.698	0.004
60.150	0.058	0.000	0.740	0.004
60.160	0.065	0.000	0.780	0.005
60.170	0.073	0.000	0.819	0.006
60.180	0.082	0.000	0.857	0.008
60.190	0.091	0.000	0.893	0.009
60.200	0.100	0.001	0.928	0.010
60.210	0.109	0.001	0.960	0.012
60.220	0.119	0.001	0.991	0.013
60.230	0.129	0.001	1.020	0.015
60.240	0.139	0.001	1.048	0.017
60.250	0.150	0.001	1.073	0.019
60.260	0.161	0.001	1.097	0.021
60.270	0.172	0.002	1.119	0.024
60.280	0.183	0.002	1.139	0.026
60.290	0.195	0.002	1.157	0.029
60.300	0.206	0.003	1.173	0.032
60.310	0.218	0.003	1.188	0.035
60.320	0.230	0.003	1.202	0.038
60.330	0.242	0.004	1.214	0.041
60.340	0.254	0.004	1.224	0.045
60.350	0.267	0.004	1.234	0.048
60.360	0.279	0.005	1.242	0.052
60.370	0.291	0.006	1.249	0.056
60.380	0.304	0.006	1.254	0.060
60.390	0.316	0.007	1.258	0.065
60.400	0.329	0.007	1.261	0.069
60.410	0.342	0.008	1.262	0.074
60.420	0.354	0.009	1.262	0.078
60.430	0.367	0.010	1.259	0.083
60.440	0.379	0.011	1.255	0.088
60.450	0.392	0.011	1.249	0.093
60.460	0.404	0.012	1.241	0.099
60.470	0.417	0.013	1.231	0.104
60.480	0.429	0.014	1.218	0.110
60.490	0.441	0.016	1.203	0.115
60.500	0.453	0.017	1.186	0.121
60.510	0.465	0.018	1.168	0.127
60.520	0.476	0.019	1.147	0.133
60.530	0.488	0.021	1.125	0.139
60.540	0.499	0.022	1.101	0.146
60.550	0.510	0.024	1.076	0.152
60.560	0.521	0.025	1.049	0.158
60.570	0.531	0.027	1.021	0.165
60.580	0.541	0.028	0.992	0.172
60.590	0.551	0.030	0.961	0.178
60.600	0.560	0.032	0.930	0.185
60.610	0.569	0.034	0.897	0.192
60.620	0.578	0.036	0.864	0.199
60.630	0.587	0.038	0.830	0.206
60.640	0.595	0.040	0.795	0.213
60.650	0.602	0.042	0.760	0.220
60.660	0.610	0.044	0.724	0.226
60.670	0.617	0.047	0.688	0.233
60.680	0.624	0.049	0.652	0.240
60.690	0.630	0.051	0.615	0.247
60.700	0.636	0.054	0.579	0.254
60.710	0.642	0.057	0.543	0.261
60.720	0.647	0.059	0.507	0.268
60.730	0.652	0.062	0.471	0.275
60.740	0.656	0.065	0.436	0.282
60.750	0.660	0.068	0.400	0.288
60.760	0.664	0.070	0.365	0.295
60.770	0.668	0.073	0.330	0.302
60.780	0.671	0.077	0.294	0.308
60.790	0.674	0.080	0.259	0.315
60.800	0.676	0.083	0.225	0.321
60.810	0.678	0.086	0.190	0.327
60.820	0.680	0.089	0.155	0.333
60.830	0.681	0.093	0.121	0.339
60.840	0.682	0.096	0.087	0.345
60.850	0.683	0.100	0.053	0.351
60.860	0.683	0.103	0.019	0.356
60.870	0.683	0.107	-0.014	0.362
60.880	0.683	0.110	-0.047	0.367
60.890	0.682	0.114	-0.079	0.372
60.900	0.681	0.118	-0.110	0.377
60.910	0.680	0.122	-0.141	0.382
60.920	0.679	0.125	-0.171	0.386
60.930	0.677	0.129	-0.200	0.391
60.940	0.675	0.133	-0.227	0.395
60.950	0.672	0.137	-0.254	0.399
60.960	0.669	0.141	-0.279	0.403
60.970	0.667	0.145	-0.303	0.406
60.980	0.663	0.149	-0.326	0.410
60.990	0.660	0.154	-0.348	0.413
61.000	0.656	0.158	-0.369	0.416
61.010	0.653	0.162	-0.389	0.418
61.020	0.649	0.166	-0.407	0.421
61.030	0.644	0.170	-0.424	0.423
61.040	0.640	0.174	-0.440	0.425
61.050	0.636	0.179	-0.454	0.427
61.060	0.631	0.183	-0.467	0.428
61.070	0.626	0.187	-0.479	0.429
61.080	0.622	0.192	-0.489	0.430
61.090	0.617	0.196	-0.497	0.431
61.100	0.612	0.200	-0.504	0.432
61.110	0.607	0.205	-0.510	0.432
61.120	0.601	0.209	-0.514	0.432
61.130	0.596	0.213	-0.516	0.431
61.140	0.591	0.217	-0.517	0.431
61.150	0.586	0.222	-0.517	0.430
61.160	0.581	0.226	-0.515	0.429
61.170	0.576	0.230	-0.511	0.427
61.180	0.571	0.235	-0.506	0.426
61.190	0.566	0.239	-0.500	0.424
61.200	0.561	0.243	-0.492	0.422
61.210	0.556	0.247	-0.482	0.420
61.220	0.551	0.252	-0.472	0.417
61.230	0.546	0.256	-0.459	0.414
61.240	0.542	0.260	-0.446	0.411
61.250	0.537	0.264	-0.431	0.408
61.260	0.533	0.268	-0.415	0.404
61.270	0.529	0.272	-0.398	0.400
61.280	0.525	0.276	-0.380	0.396
61.290	0.521	0.280	-0.361	0.392
61.300	0.518	0.284	-0.341	0.388
61.310	0.515	0.288	-0.320	0.383
61.320	0.511	0.291	-0.298	0.378
61.330	0.509	0.295	-0.275	0.373
61.340	0.506	0.299	-0.251	0.368
61.350	0.504	0.303	-0.226	0.362
61.360	0.501	0.306	-0.200	0.357
61.370	0.500	0.310	-0.173	0.351
61.380	0.498	0.313	-0.146	0.345
61.390	0.497	0.317	-0.118	0.339
61.400	0.496	0.320	-0.089	0.332
61.410	0.495	0.323	-0.060	0.326
61.420	0.495	0.326	-0.031	0.319
61.430	0.494	0.330	-0.001	0.312
61.440	0.495	0.333	0.029	0.306
61.450	0.495	0.336	0.059	0.299
61.460	0.496	0.339	0.089	0.291
61.470	0.497	0.342	0.118	0.284
61.480	0.498	0.344	0.147	0.277
61.490	0.500	0.347	0.176	0.269
61.500	0.501	0.350	0.203	0.262
61.510	0.504	0.352	0.230	0.254
61.520	0.506	0.355	0.257	0.247
61.530	0.509	0.357	0.284	0.239
61.540	0.512	0.360	0.310	0.231
61.550	0.515	0.362	0.337	0.223
61.560	0.519	0.364	0.363	0.215
61.570	0.522	0.366	0.388	0.207
61.580	0.526	0.368	0.413	0.200
61.590	0.531	0.370	0.438	0.192
61.600	0.535	0.372	0.462	0.184
61.610	0.540	0.374	0.485	0.176
61.620	0.545	0.376	0.508	0.168
61.630	0.550	0.377	0.530	0.160
61.640	0.555	0.379	0.551	0.152
61.650	0.561	0.380	0.571	0.144
61.660	0.567	0.382	0.591	0.136
61.670	0.573	0.383	0.609	0.128
61.680	0.579	0.384	0.627	0.120
61.690	0.585	0.385	0.644	0.112
61.700	0.592	0.386	0.660	0.104
61.710	0.598	0.387	0.675	0.097
61.720	0.605	0.388	0.689	0.089
61.730	0.612	0.389	0.702	0.081
61.740	0.619	0.390	0.714	0.074
61.750	0.626	0.391	0.726	0.066
61.760	0.634	0.391	0.736	0.059
61.770	0.641	0.392	0.746	0.052
61.780	0.649	0.392	0.755	0.044
61.790	0.656	0.393	0.763	0.037
61.800	0.664	0.393	0.771	0.030
61.810	0.672	0.393	0.779	0.023
61.820	0.680	0.394	0.786	0.017
61.830	0.688	0.394	0.791	0.010
61.840	0.695	0.394	0.796	0.003
61.850	0.703	0.394	0.800	-0.003
61.860	0.711	0.394	0.802	-0.010
61.870	0.719	0.394	0.803	-0.016
61.880	0.727	0.393	0.803	-0.022
61.890	0.735	0.393	0.801	-0.028
61.900	0.743	0.393	0.797	-0.034
61.910	0.751	0.392	0.792	-0.040
61.920	0.759	0.392	0.786	-0.045
61.930	0.767	0.392	0.778	-0.051
61.940	0.775	0.391	0.768	-0.056
61.950	0.782	0.390	0.758	-0.061
61.960	0.790	0.390	0.746	-0.066
61.970	0.797	0.389	0.732	-0.071
61.980	0.805	0.388	0.718	-0.076
61.990	0.812	0.388	0.703	-0.081
62.000	0.819	0.387	0.687	-0.085
62.010	0.826	0.386	0.671	-0.089
62.020	0.832	0.385	0.654	-0.094
62.030	0.839	0.384	0.637	-0.098
62.040	0.845	0.383	0.620	-0.102
62.050	0.851	0.382	0.603	-0.106
62.060	0.857	0.381	0.585	-0.109
62.070	0.863	0.380	0.568	-0.113
62.080	0.868	0.379	0.549	-0.116
62.090	0.874	0.377	0.531	-0.120
