# time_s wind_ms x1_blade_m x2_tower_m
0.000000000000000000e+00 1.021700000000000053e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-02 1.022300000000000075e+01 5.208427558241683197e-04 1.252196616654753923e-08
2.000000000000000042e-02 1.022899999999999920e+01 2.069355915466600249e-03 1.448385993037275575e-07
2.999999999999999889e-02 1.023499999999999943e+01 4.623708832497660029e-03 6.597119704625350681e-07
4.000000000000000083e-02 1.024200000000000088e+01 8.161065205943760642e-03 1.971503477592477846e-06
5.000000000000000278e-02 1.024799999999999933e+01 1.265803875507406223e-02 4.627548131688810957e-06
5.999999999999999778e-02 1.025500000000000078e+01 1.809069664549122630e-02 9.308028073454759443e-06
7.000000000000000666e-02 1.026200000000000045e+01 2.443455948913146256e-02 1.682597257330155967e-05
8.000000000000000167e-02 1.026900000000000013e+01 3.166460134426445083e-02 2.812725803134836342e-05
8.999999999999999667e-02 1.027800000000000047e+01 3.975524971549340009e-02 4.429060797742234457e-05
1.000000000000000056e-01 1.028800000000000026e+01 4.868038916232338836e-02 6.651348601572703125e-05
1.100000000000000006e-01 1.029899999999999949e+01 5.841375476201225714e-02 9.607482881123410976e-05
1.199999999999999956e-01 1.031099999999999994e+01 6.892907580096425957e-02 1.344350829843714594e-04
1.300000000000000044e-01 1.032399999999999984e+01 8.019957506047908913e-02 1.831536811578033655e-04
1.400000000000000133e-01 1.033699999999999974e+01 9.219793720546634597e-02 2.438771842955296662e-04
1.499999999999999944e-01 1.034999999999999964e+01 1.048963087844455855e-01 3.183392817028860098e-04
1.600000000000000033e-01 1.036100000000000065e+01 1.182662982295464016e-01 4.083607910265444241e-04
1.700000000000000122e-01 1.036899999999999977e+01 1.322789758565082741e-01 5.158496582545119610e-04
1.799999999999999933e-01 1.037400000000000055e+01 1.469048738646806240e-01 6.428009577161316723e-04
1.900000000000000022e-01 1.037500000000000000e+01 1.621139863370229528e-01 7.912968920820833687e-04
2.000000000000000111e-01 1.037199999999999989e+01 1.778757692401046198e-01 9.635067923643812890e-04
2.099999999999999922e-01 1.036400000000000077e+01 1.941591506196429229e-01 1.161685716503276606e-03
