# t	x1	x2	dx1	dx2
60.000	0.000	0.000	0.000	0.000
60.010	0.000	0.000	0.049	0.000
60.020	0.001	0.000	0.098	0.000
60.030	0.002	0.000	0.146	0.000
60.040	0.004	0.000	0.195	0.000
60.050	0.006	0.000	0.243	0.000
60.060	0.009	0.000	0.290	0.000
60.070	0.012	0.000	0.337	0.000
60.080	0.016	0.000	0.383	0.001
60.090	0.020	0.000	0.429	0.001
60.100	0.024	0.000	0.473	0.001
60.110	0.029	0.000	0.517	0.002
60.120	0.034	0.000	0.560	0.002
60.130	0.040	0.000	0.601	0.003
60.140	0.046	0.000	0.641	0.003
60.150	0.053	0.000	0.681	0.004
60.160	0.060	0.000	0.719	0.005
60.170	0.067	0.000	0.756	0.006
60.180	0.075	0.000	0.791	0.007
60.190	0.083	0.000	0.825	0.008
60.200	0.092	0.000	0.858	0.009
60.210	0.100	0.001	0.890	0.011
60.220	0.109	0.001	0.920	0.012
60.230	0.119	0.001	0.948	0.014
60.240	0.128	0.001	0.975	0.016
60.250	0.138	0.001	1.000	0.018
60.260	0.148	0.001	1.024	0.020
60.270	0.159	0.002	1.045	0.022
60.280	0.169	0.002	1.066	0.024
60.290	0.180	0.002	1.085	0.027
60.300	0.191	0.002	1.102	0.029
60.310	0.202	0.003	1.118	0.032
60.320	0.213	0.003	1.132	0.035
60.330	0.225	0.003	1.145	0.038
60.340	0.236	0.004	1.156	0.041
60.350	0.248	0.004	1.167	0.045
60.360	0.260	0.005	1.175	0.048
60.370	0.271	0.005	1.182	0.052
60.380	0.283	0.006	1.188	0.056
60.390	0.295	0.006	1.192	0.060
60.400	0.307	0.007	1.195	0.064
60.410	0.319	0.007	1.196	0.068
60.420	0.331	0.008	1.196	0.073
60.430	0.343	0.009	1.194	0.077
60.440	0.355	0.010	1.190	0.082
60.450	0.367	0.011	1.185	0.087
60.460	0.379	0.011	1.178	0.092
60.470	0.390	0.012	1.169	0.097
60.480	0.402	0.013	1.158	0.102
60.490	0.413	0.014	1.146	0.107
60.500	0.425	0.016	1.132	0.113
60.510	0.436	0.017	1.116	0.118
60.520	0.447	0.018	1.099	0.124
60.530	0.458	0.019	1.081	0.130
60.540	0.469	0.021	1.061	0.136
60.550	0.479	0.022	1.039	0.142
60.560	0.490	0.023	1.017	0.148
60.570	0.500	0.025	0.993	0.154
