TI-ws_category	TI	U_mean	x1_mean	x1_std	x2_mean	x2_std
wind_10_ms_TI_0.1	0.100	10.069	1.124	0.222	0.385	0.094
wind_11_ms_TI_0.1	0.100	11.074	1.330	0.263	0.456	0.111
wind_12_ms_TI_0.1	0.100	12.080	1.121	0.228	0.385	0.101
wind_13_ms_TI_0.1	0.100	13.085	0.958	0.200	0.329	0.093
wind_14_ms_TI_0.1	0.100	14.091	0.858	0.185	0.294	0.089
wind_15_ms_TI_0.1	0.100	15.096	0.790	0.175	0.271	0.087
wind_16_ms_TI_0.1	0.100	16.101	0.732	0.167	0.251	0.086
wind_17_ms_TI_0.1	0.100	17.106	0.686	0.160	0.235	0.085
wind_18_ms_TI_0.1	0.100	18.110	0.651	0.156	0.223	0.084
wind_19_ms_TI_0.1	0.100	19.115	0.618	0.152	0.212	0.084
wind_20_ms_TI_0.1	0.100	20.119	0.592	0.149	0.203	0.084
wind_21_ms_TI_0.1	0.100	21.124	0.569	0.147	0.195	0.084
wind_22_ms_TI_0.1	0.100	22.128	0.552	0.146	0.189	0.085
wind_23_ms_TI_0.1	0.100	23.132	0.532	0.144	0.182	0.085
wind_24_ms_TI_0.1	0.100	24.137	0.516	0.143	0.177	0.086
wind_25_ms_TI_0.1	0.100	25.141	0.508	0.143	0.174	0.086
wind_4_ms_TI_0.1	0.100	4.030	0.204	0.039	0.070	0.018
wind_5_ms_TI_0.1	0.100	5.037	0.317	0.062	0.109	0.027
wind_6_ms_TI_0.1	0.100	6.044	0.448	0.088	0.154	0.038
wind_7_ms_TI_0.1	0.100	7.050	0.579	0.114	0.199	0.049
wind_8_ms_TI_0.1	0.100	8.057	0.719	0.142	0.247	0.061
wind_9_ms_TI_0.1	0.100	9.063	0.910	0.180	0.312	0.077
